Lead I,Lead II,Lead III
1.1777416840263029,-2.269030502,-3.446833394
1.1984867532098178,-2.27622697,-3.474770173
1.190862508598735,-2.349866263,-3.540770385
1.1750758384453617,-2.380357631,-3.555487688
1.2102784122687535,-2.354831009,-3.565159464
1.2331163078138725,-2.346310521,-3.57949033
1.236251702742947,-2.336597954,-3.572951886
1.2470344485322458,-2.378098496,-3.625209387
1.2779175849708793,-2.411023938,-3.688984036
1.3135616615558836,-2.392959647,-3.706583466
1.350059994924827,-2.374893964,-3.725069279
1.3161442756270734,-2.419294905,-3.735544982
1.226745540328399,-2.449246733,-3.676055889
1.257245595426807,-2.401260202,-3.658571017
1.2895831553882562,-2.393342957,-3.682995971
1.2909212727920014,-2.396502918,-3.687505291
1.3091408490266636,-2.373398659,-3.682631996
1.305421835896106,-2.399650794,-3.705117618
1.306383826507854,-2.447190907,-3.753610918
1.2857433105354514,-2.458263544,-3.744073844
1.2734230880052528,-2.445210347,-3.718726083
1.2920067145342222,-2.428486801,-3.720577791
1.3183467023543192,-2.427154906,-3.74559818
1.328839424483573,-2.407497047,-3.736410131
1.3183777774802905,-2.39519768,-3.713619697
1.3258023853045457,-2.420135437,-3.745992032
1.3382073956108762,-2.447260887,-3.785539709
1.3309908684242966,-2.479504087,-3.810584551
1.2984193948495006,-2.480333547,-3.778822801
1.2856988993982428,-2.460990754,-3.746761729
1.3440895776259099,-2.436306856,-3.780449802
1.3750798233097954,-2.425293322,-3.800436496
1.3497409419144704,-2.448839585,-3.798664418
1.3643933921344702,-2.442042386,-3.80653642
1.3583922791361092,-2.417428401,-3.775928244
1.3075812700474663,-2.454209187,-3.761901586
1.2793238140259708,-2.471645671,-3.751077023
1.287730821553951,-2.4094636,-3.697274438
1.3133423248333673,-2.372178573,-3.685593904
1.3473237950593948,-2.422587004,-3.769971206
1.3914551365387369,-2.426032416,-3.81755606
1.3844134822431178,-2.413631648,-3.798107735
1.338181654006132,-2.44361554,-3.781859
1.325572187358133,-2.436484009,-3.762121062
1.3148400389680603,-2.48229195,-3.797198291
1.289559307936693,-2.482781776,-3.772433897
1.3310268661828677,-2.424541948,-3.755652182
1.3725182229577109,-2.40638249,-3.77896521
1.3646644369703842,-2.390585026,-3.755328144
1.3415375342740643,-2.375502442,-3.717144364
1.3267647293275058,-2.432462182,-3.759317451
1.300716783,-2.468128609,-3.768940902
1.2834562865338943,-2.471652549,-3.755198072
